seed,track,split,row_index
42,final_raw_777,test,13
42,final_raw_777,test,18
42,final_raw_777,test,31
42,final_raw_777,test,42
42,final_raw_777,test,56
42,final_raw_777,test,66
42,final_raw_777,test,79
42,final_raw_777,test,88
42,final_raw_777,test,100
42,final_raw_777,test,104
42,final_raw_777,test,120
42,final_raw_777,test,123
42,final_raw_777,test,138
42,final_raw_777,test,140
42,final_raw_777,test,204
42,final_raw_777,test,205
42,final_raw_777,test,213
42,final_raw_777,test,223
42,final_raw_777,test,234
42,final_raw_777,test,244
42,final_raw_777,test,246
42,final_raw_777,test,249
42,final_raw_777,test,251
42,final_raw_777,test,254
42,final_raw_777,test,298
42,final_raw_777,test,303
42,final_raw_777,test,314
42,final_raw_777,test,333
42,final_raw_777,test,336
42,final_raw_777,test,343
42,final_raw_777,test,354
42,final_raw_777,test,363
42,final_raw_777,test,369
42,final_raw_777,test,373
42,final_raw_777,test,378
42,final_raw_777,test,406
42,final_raw_777,test,419
42,final_raw_777,test,439
42,final_raw_777,test,465
42,final_raw_777,test,471
42,final_raw_777,test,476
42,final_raw_777,test,479
42,final_raw_777,test,489
42,final_raw_777,test,498
42,final_raw_777,test,499
42,final_raw_777,test,503
42,final_raw_777,test,517
42,final_raw_777,test,528
42,final_raw_777,test,540
42,final_raw_777,test,544
42,final_raw_777,test,549
42,final_raw_777,test,584
42,final_raw_777,test,586
42,final_raw_777,test,599
42,final_raw_777,test,619
42,final_raw_777,test,649
42,final_raw_777,test,651
42,final_raw_777,test,676
42,final_raw_777,test,682
42,final_raw_777,test,692
42,final_raw_777,test,697
42,final_raw_777,test,720
42,final_raw_777,test,726
42,final_raw_777,test,731
42,final_raw_777,test,740
42,final_raw_777,test,751
42,final_raw_777,test,789
42,final_raw_777,test,819
42,final_raw_777,test,821
42,final_raw_777,test,826
42,final_raw_777,test,845
42,final_raw_777,test,848
42,final_raw_777,test,850
42,final_raw_777,test,888
42,final_raw_777,test,917
42,final_raw_777,test,947
42,final_raw_777,test,952
42,final_raw_777,test,975
42,final_raw_777,test,987
42,final_raw_777,test,988
42,final_raw_777,test,992
42,final_raw_777,test,1007
42,final_raw_777,test,1010
42,final_raw_777,test,1021
42,final_raw_777,test,1025
42,final_raw_777,test,1045
42,final_raw_777,test,1075
42,final_raw_777,test,1076
42,final_raw_777,test,1093
42,final_raw_777,test,1107
42,final_raw_777,test,1136
42,final_raw_777,test,1175
42,final_raw_777,test,1183
42,final_raw_777,test,1202
42,final_raw_777,test,1209
42,final_raw_777,test,1212
42,final_raw_777,test,1219
42,final_raw_777,test,1223
42,final_raw_777,test,1224
42,final_raw_777,test,1226
42,final_raw_777,test,1236
42,final_raw_777,test,1261
42,final_raw_777,test,1284
42,final_raw_777,test,1296
42,final_raw_777,test,1297
42,final_raw_777,test,1300
42,final_raw_777,test,1311
42,final_raw_777,test,1325
42,final_raw_777,test,1326
42,final_raw_777,test,1360
42,final_raw_777,test,1369
42,final_raw_777,test,1373
42,final_raw_777,test,1388
42,final_raw_777,test,1402
42,final_raw_777,test,1410
42,final_raw_777,test,1416
42,final_raw_777,test,1431
42,final_raw_777,test,1435
42,final_raw_777,test,1436
42,final_raw_777,test,1440
42,final_raw_777,test,1453
42,final_raw_777,test,1478
42,final_raw_777,test,1490
42,final_raw_777,test,1492
42,final_raw_777,test,1516
42,final_raw_777,test,1519
42,final_raw_777,test,1524
42,final_raw_777,test,1530
42,final_raw_777,test,1557
42,final_raw_777,test,1586
42,final_raw_777,test,1620
42,final_raw_777,test,1629
42,final_raw_777,test,1630
42,final_raw_777,test,1644
42,final_raw_777,test,1649
42,final_raw_777,test,1661
42,final_raw_777,test,1664
42,final_raw_777,test,1666
42,final_raw_777,test,1669
42,final_raw_777,test,1686
42,final_raw_777,test,1691
42,final_raw_777,test,1702
42,final_raw_777,test,1706
42,final_raw_777,test,1707
42,final_raw_777,test,1711
42,final_raw_777,test,1768
42,final_raw_777,test,1771
42,final_raw_777,test,1792
42,final_raw_777,test,1806
42,final_raw_777,test,1812
42,final_raw_777,test,1817
42,final_raw_777,test,1844
42,final_raw_777,test,1887
42,final_raw_777,test,1888
42,final_raw_777,test,1892
42,final_raw_777,test,1899
42,final_raw_777,test,1910
42,final_raw_777,test,1936
42,final_raw_777,test,1948
42,final_raw_777,test,1950
42,final_raw_777,test,1956
42,final_raw_777,test,1968
42,final_raw_777,test,1983
42,final_raw_777,test,1988
42,final_raw_777,test,2000
42,final_raw_777,test,2028
42,final_raw_777,test,2031
42,final_raw_777,test,2034
42,final_raw_777,test,2036
42,final_raw_777,test,2051
