label_name,label_binary,text,rating,asin,user_id,timestamp
fake,1,Great product for healing scars and for skin conditions of any kind.  Highly recommend.  This last order came with a cracked twist cap thus not able to take with me when I travel.  I've requested a replacement cap and have not received a response which is very disappointing.  Otherwise I would give this product a 5 star.  May have to look at other options for future purchases.,4,B01BJCLNIA,AH4FINFRYIWY253JETN3OW74VCJA,7/11/2017 19:06
fake,1,It’s perfect for my urban decay products...,5,B015IHU77U,AEXYY77QJKADYHYSLQPIULPUGHGA,11/9/2017 9:33
fake,1,"Since 2008, when I discovered Nutracine after using the top brands in skincare from doctor endorsed to the most expensive products on the market.  Each brand i tired, I found I had to switch after 3-4 years because I would either breakout or my skin was not hydrated enough.  Nutracine’s Foaming Cleanser, Intensive Wrinkle & Collagen-D have been THE ONLY PRODUCTS I’VE USED FOR 11 YEARS!!  I can not say enough great things about this line of products.  Hopefully, Amazon will add their eye & lip balm which I use religiously!!",5,B07T6BCY83,AFOWZ5JQ42WONMBPFJ2ETB2WSFEA,9/29/2019 18:00
fake,1,I love this product,5,B001T88N0G,AGZT7JRZVAEUBOXQEEAB56QZ4K4Q,2/26/2019 22:26
fake,1,Dried out quickly,2,B08HWB3LFT,AEL5IL3KAUJTLGUOA6BDVHDLRTLQ,6/3/2021 11:33
fake,1,Small gutts well,5,B099BLC99J,AGIRJACFNQD5FHRSJVT7JGHGNFUA,2/6/2023 16:13
fake,1,best ever,5,B075RB3XJV,AFHTZSC5OVLMIDIFHJD6VYDXU7UQ,5/10/2019 1:00
fake,1,"These face/body crayons are very faint. Some of the darker colors are more visible on the skin, but for the most part, they definitely do not provide the same look as face paint would. The tip is also large and flattened at the end making it harder to draw. I would probably pass on these.",3,B09LLR47SQ,AEX5VTQKWP3RA7CHRULGZGTUBSOA,3/19/2022 11:40
fake,1,"My daughter bought this for me last week. It is such a great idea, and it was available in hard-to-find gray. I opened the box, started to apply it, and I didn't even have enough ""liquid"" to shape one eyebrow, let alone both of them, let alone more than once. It is totally dried up, gummy, and flaky.<br /><br />I would never recommend this product to anyone. If I could give half a star or NO star, I would.",1,B07CZBVBHC,AGGQYVZMKD4HKVJFJR5AEKC35LCA,2/18/2019 17:13
fake,1,Pretty bounce looks great,5,B08J4GQ59Y,AHNFQY2L4S73RJ6ENZ7RA7FQHU2Q,1/31/2021 10:46
real,0,All of these are old lady smells. And not returnable so I’m out $30 because these are trash to me. I smelled 4 and have a headache from them. Was not aware they were not returnable. 😡,1,B08MMYXYFJ,AFFUCOWHNAHE2A2PXFNZGANO7NGQ,11/5/2022 20:26
real,0,Does absolutely nothing. It is more of a lotion than any kind of makeup. Do not order.,1,B081T859ZD,AG5SF2YXAHLJHWWLJNLHN62G72VA,12/30/2019 23:53
real,0,"Make hair stiff as a board, UGH, even if used in very small amounts.",2,B00I111SU6,AHTDSLIRVSDLNP6AJ5F62CURWLDA,7/17/2015 10:46
real,0,Fits great. The color is great. Everything was expected. Definitely worth it,5,B07X8RM3MQ,AESVYTWHGGNVFRLKNQWKCYCYIEEA,11/1/2022 16:26
real,0,"This is my 4th Santa head gear & the 4th time has proven to be the winner.  I've been asked, 'Are you a professional Santa?' 'Is That real hair?' 'That's an incredible suit Santa!' & we sang carols & had a jolly, holly, deck the hall times.  I dinged the head gear because the moth area of the beard is a bit rough on the face.  It's cupped, so gives the mouth some space, but whenever the lips come in contact with the inside the beard, OUCH #&%@?!...  That's my only issue... Otherwise, it's the perfect Shaka Santa Beard and Wig Set. Mele Kalikimaka & Hauoli Maka Hiki Hou Ho Ho!",4,B0BMGRL3V9,AHI3VBWZYBLD344TFJVLGBIH2W5A,12/15/2022 7:40
real,0,This is a very good dup to the high end brand/scent Baccarat Rouge. It smells so good! I have worn it since I got it and a lot of people have asked me what I am wearing? I love this so much i am going to order another bottle. This would make a nice gift as the packaging is so nice as well.,5,B08ZJNHRYB,AGECBG6FZ23ERUO6RWIT7EB4YACA,1/27/2023 17:20
real,0,"i was very disappointed with this product, i put the sugested amount  into my cedar chest to get out the strong mothball smell, it did not work i used it about 4 more times putting a little more each time and letting it stay longer. i would vacuum the old product out before applying a fresh application. it did not work.",1,B004SBLL2I,AFLT7ICAW4BGT2BV2H3OF42J6HUQ,2/19/2019 1:33
real,0,"I first tried this hair product about a year ago, and I do not believe it's being sold in stores any longer, which is unfortunate.  It's reasonably priced and works great.  I had some broken hair at the top of my head and it helped to blend that in some, but does not add weight...just some volume and health.  It isn't sticky or heavy, and is quite nice!",5,B001VFL89U,AHY4N4OEHQASLTOQMFQKCYNSU4EA,4/20/2012 16:40
real,0,This mirror saves my back! It's suction power is much better than I expected. The light surrounding the mirror is super bright. It's much easier to apply make-up or do anything you need! I highly recommend this product!,5,B083BR4F1K,AF5OAM5B4PI5U5T5YKCLRUWHWT7Q,4/8/2021 19:26
real,0,"Total waste of money, this is synthetic hair and does not blend, it sticks out",1,B072XQQ618,AG23ZYNYV34EH7VBWJS7PA2B66ZA,3/9/2019 19:33
