row_id,user_id,asin,timestamp
0,AEEISX37MX626HP6FWCE7VRRF7GA,B0092SUA6A,10/3/2015 19:20
1,AEAYIAVCDBFR7IPFIGNYSIYUNXYA,B07TD8JG2Y,5/13/2020 20:00
2,AHHKYEI3UENQ5NWUJAWKNSPG4EVQ,B092Z6B3GR,10/28/2021 22:26
3,AGISTZM4O3YZACI2XOIFTGGFNC3A,B08KHRF9NY,7/25/2021 5:13
4,AHBTOALKJ64FJTMIF3OK6JTNIYPQ,B00BGFIITI,10/11/2021 13:46
5,AGFZSVBIG5DHRHX7HCQHFU74ZHVQ,B0794KRDKB,3/15/2019 22:46
6,AFWKQLCGFBCCGJ5VHYAZAK277IBQ,B09NJDTJQK,10/22/2022 12:00
7,AEDJLTTS2SVHSZLTHHX7UYYBVIGQ,B01J6QJI7E,1/15/2017 22:40
8,AFNXLUO5UJ6JLWZEOQG4FZAAR6NA,B07PR9KQQX,7/16/2019 18:00
9,AHEYQFBVRTOHOAKJ6AUT3KYMNHGQ,B074PQG4K8,1/27/2019 3:33
10,AH4F4WS37GLJHOFYVJPYHMJ7YIPQ,B0009MFUOA,9/16/2008 15:46
11,AHEEACRAKDSZAKA4NHML7CD3Q6JA,B00KBDNNLY,2/2/2015 18:00
12,AECC4YC3JTADMWHMJFSM7DFALEKQ,B07B2D7JZ6,4/2/2021 10:40
13,AEBEUWU3XS7NQMF7PF2KBE55OMGA,B007MRORWQ,6/27/2015 18:33
14,AGHZB7RAV5C5C4V3OYZJSIQADH4Q,B07P5QJFQ9,4/24/2019 15:33
15,AF2FPWHGR7W7ZEAWWVJZY64ZSODA,B078NT14KZ,12/27/2019 20:53
16,AFO3PBBDBV2UXUA3KCJDCR4KZFYQ,B0815Y3L6V,3/1/2021 23:06
17,AGPWZB3EFQT2I4QEEAQUSLF3ZOBQ,B002RA2DK6,8/12/2019 14:26
18,AH4JNUKLYPOT2AWAP25VVWA42EFA,B073S4V31G,10/28/2018 1:26
19,AFOPPX72SGFAECSERM7J6M53KUVA,B0814VFKH1,6/21/2020 9:00
20,AG5FVKVDAFROLJLLU7QAA7HDV5ZQ,B07WVQ56Q4,7/4/2020 16:26
21,AHTPBC6AXI6LUU5I7EKINKA6NYNQ,B09NZKX1HY,3/18/2022 5:06
22,AF7UXZ7NUOYBIZWCH4VCEXQQOVNQ,B0754NJ3R3,9/20/2022 2:13
23,AEXNCNE37MRWCMBRAF26ANFB3LIA,B00JNGW4PG,9/5/2016 12:53
24,AFBHVTDTUIDVKUAP5ZVQ6ZMJXVCA,B0147I957O,10/23/2020 21:53
25,AENVSV5SRLOQI4CZHK6PIVFAHKDQ,B00RNFREKO,8/21/2015 1:20
26,AHNA3KBB7AZP6VVGF6TJHCGXVEDA,B087B9FHWM,11/30/2020 7:06
27,AFB2CV6KZTNAIYK5OE3DXFUVRGRQ,B07FLW7DF4,6/23/2019 20:00
